APIB_IND,COUNTY_CODE,COUNTY_NAME,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,record_count
AP,1.0,ALBANY,3923,3845,3097.0,2231.0,36,0.8054616384915475,0.5802340702210663,0.9801172572011216,88
AP,10.0,COLUMBIA,293,284,201.0,115.0,5,0.7077464788732394,0.40492957746478875,0.9692832764505119,18
AP,11.0,CORTLAND,202,188,142.0,86.0,7,0.7553191489361702,0.4574468085106383,0.9306930693069307,14
AP,12.0,DELAWARE,107,81,63.0,36.0,10,0.7777777777777778,0.4444444444444444,0.7570093457943925,19
AP,13.0,DUTCHESS,2758,2716,1930.0,1132.0,20,0.7106038291605302,0.4167893961708395,0.9847715736040609,75
AP,14.0,ERIE,11230,11107,7721.0,4708.0,29,0.6951472044656523,0.42387683442873864,0.989047195013357,105
AP,15.0,ESSEX,79,68,51.0,28.0,5,0.75,0.4117647058823529,0.8607594936708861,9
AP,16.0,FRANKLIN,142,140,108.0,54.0,2,0.7714285714285715,0.38571428571428573,0.9859154929577465,9
AP,17.0,FULTON,204,169,108.0,51.0,17,0.6390532544378699,0.30177514792899407,0.8284313725490197,26
AP,18.0,GENESEE,531,517,402.0,226.0,10,0.7775628626692457,0.437137330754352,0.9736346516007532,28
AP,19.0,GREENE,234,198,130.0,68.0,17,0.6565656565656566,0.3434343434343434,0.8461538461538461,26
AP,2.0,ALLEGANY,87,76,58.0,37.0,5,0.7631578947368421,0.4868421052631579,0.8735632183908046,11
AP,20.0,HAMILTON,13,5,1.0,1.0,5,0.2,0.2,0.38461538461538464,6
AP,21.0,HERKIMER,187,186,82.0,25.0,1,0.44086021505376344,0.13440860215053763,0.9946524064171123,9
AP,22.0,JEFFERSON,180,165,107.0,62.0,7,0.6484848484848484,0.37575757575757573,0.9166666666666666,16
AP,23.0,LEWIS,61,42,34.0,23.0,9,0.8095238095238095,0.5476190476190477,0.6885245901639344,13
AP,24.0,LIVINGSTON,741,716,528.0,306.0,13,0.7374301675977654,0.4273743016759777,0.9662618083670715,37
AP,25.0,MADISON,808,785,557.0,334.0,11,0.7095541401273885,0.42547770700636944,0.9715346534653465,28
AP,26.0,MONROE,11831,11769,9011.0,5999.0,40,0.7656555357294588,0.5097289489336392,0.9947595300481785,114
AP,27.0,MONTGOMERY,230,226,108.0,55.0,2,0.4778761061946903,0.24336283185840707,0.9826086956521739,11
AP,28.0,NASSAU,54304,54250,41187.0,26474.0,25,0.7592073732718894,0.488,0.9990055981143194,134
AP,3.0,BROOME,715,688,450.0,245.0,13,0.6540697674418605,0.3561046511627907,0.9622377622377623,38
AP,31.0,NEW YORK,21484,21417,13185.0,8742.0,30,0.6156324415184199,0.4081804174254097,0.996881400111711,130
AP,32.0,BRONX,15411,15337,8277.0,5536.0,22,0.539675295038143,0.3609571624176827,0.9951982350269288,104
AP,33.0,KINGS,34896,34863,22019.0,14187.0,14,0.6315864957117862,0.40693571981757165,0.999054332874828,121
AP,34.0,QUEENS,32980,32941,17666.0,9461.0,20,0.5362921587079931,0.2872104671989314,0.998817465130382,119
AP,35.0,RICHMOND,8759,8712,5593.0,3458.0,19,0.6419880624426079,0.3969237832874197,0.9946340906496175,75
AP,4.0,CATTARAUGUS,230,214,143.0,68.0,7,0.6682242990654206,0.3177570093457944,0.9304347826086956,17
AP,40.0,NIAGARA,1956,1929,1224.0,605.0,18,0.6345256609642301,0.31363400725764645,0.9861963190184049,46
AP,41.0,ONEIDA,2387,2357,1503.0,814.0,20,0.6376750106067034,0.3453542638947815,0.9874319229157938,55
AP,42.0,ONONDAGA,3799,3750,3111.0,2091.0,28,0.8296,0.5576,0.9871018689128718,78
AP,43.0,ONTARIO,2212,2179,1664.0,1052.0,14,0.7636530518586507,0.4827902707664066,0.9850813743218807,50
AP,44.0,ORANGE,3399,3353,2259.0,1374.0,19,0.6737250223680287,0.4097822845213242,0.9864666078258312,68
