APIB_IND,SUBGROUP_CODE,SUBGROUP_NAME,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,all_students_tested,all_students_rate,participation_share,gap_vs_all
AP,1,All Students,297983,297923,206034.0,130022.0,32,0.691567955478429,0.43642820460320286,0.9997986462314964,297983,0.691567955478429,1.0,0.0
AP,10,General Education Students,290061,290012,202797.0,128349.0,29,0.6992710646456008,0.4425644456091472,0.9998310700163069,297983,0.691567955478429,0.973414590765245,0.007703109167171873
AP,11,Students with Disabilities,7922,7805,3166.0,1627.0,56,0.40563741191543884,0.20845611787315824,0.9852310022721535,297983,0.691567955478429,0.026585409234755004,-0.28593054356299014
AP,12,Not English Language Learner,294465,294405,204293.0,128998.0,30,0.6939182418776855,0.4381651126849068,0.9997962406398044,297983,0.691567955478429,0.9881939573734072,0.002350286399256496
AP,13,English Language Learner,3518,3116,1704.0,998.0,53,0.5468549422336328,0.32028241335044927,0.885730528709494,297983,0.691567955478429,0.011806042626592793,-0.14471301324479613
AP,15,Economically Disadvantaged,114872,114804,64905.0,36858.0,41,0.5653548656841225,0.32105153130552944,0.9994080367713629,297983,0.691567955478429,0.3854985015923727,-0.12621308979430645
AP,16,Not Economically Disadvantaged,183111,183073,141094.0,93141.0,23,0.7706980275627755,0.5087642634358972,0.9997924756022304,297983,0.691567955478429,0.6145014984076272,0.07913007208434653
AP,17,Migrant,17,0,0.0,0.0,9,,,0.0,297983,0.691567955478429,5.70502344093455e-05,
AP,18,Not Migrant,297966,297906,206020.0,130015.0,32,0.6915604251005351,0.4364296120252697,0.9997986347435613,297983,0.691567955478429,0.9999429497655906,-7.530377893916196e-06
AP,2,Female,162316,162271,109602.0,67137.0,29,0.6754256767999212,0.4137338156540602,0.9997227630054955,297983,0.691567955478429,0.5447156381404308,-0.016142278678507815
AP,20,Homeless,5913,5845,2659.0,1457.0,33,0.45491873396065013,0.24927288280581694,0.9884999154405547,297983,0.691567955478429,0.019843413886027055,-0.23664922151777884
AP,21,Not Homeless,292070,292011,203348.0,128552.0,32,0.6963710271188415,0.4402299913359428,0.9997979936316637,297983,0.691567955478429,0.9801565861139729,0.004803071640412493
AP,22,In Foster Care,143,54,25.0,11.0,48,0.46296296296296297,0.2037037037037037,0.3776223776223776,297983,0.691567955478429,0.00047989314826684743,-0.228604992515466
AP,23,Not in Foster Care,297840,297783,205980.0,129999.0,32,0.6917117498312529,0.4365561499481166,0.9998086220789686,297983,0.691567955478429,0.9995201068517332,0.00014379435282396713
AP,24,Parent in Armed Forces,402,328,224.0,138.0,41,0.6829268292682927,0.42073170731707316,0.8159203980099502,297983,0.691567955478429,0.0013490702489739347,-0.00864112621013624
AP,25,Parent Not in Armed Forces,297581,297517,205754.0,129853.0,33,0.6915705657155725,0.43645573194136805,0.9997849325057715,297983,0.691567955478429,0.9986509297510261,2.6102371435410276e-06
AP,29,Nonbinary,215,141,119.0,81.0,39,0.8439716312056738,0.574468085106383,0.6558139534883721,297983,0.691567955478429,0.0007215176704711343,0.15240367572724478
AP,3,Male,135452,135387,96222.0,62739.0,29,0.7107181634868931,0.4634049059363159,0.9995201252104067,297983,0.691567955478429,0.45456284418909804,0.01915020800846412
AP,4,American Indian/Alaska Native,1399,1307,612.0,296.0,41,0.468247895944912,0.22647283856159142,0.9342387419585418,297983,0.691567955478429,0.004694898702274962,-0.22332005953351697
AP,5,Black,25406,25371,10693.0,4757.0,15,0.4214654526821962,0.18749753655748688,0.9986223726678737,297983,0.691567955478429,0.08525989737669598,-0.27010250279623277
AP,6,Hispanic,55046,54966,28860.0,15294.0,36,0.5250518502346906,0.27824473310773934,0.9985466700577699,297983,0.691567955478429,0.18472865901746072,-0.1665161052437384
AP,7,Asian/Pacific Islander,75947,75884,58181.0,40405.0,31,0.7667097148278952,0.5324574350324179,0.9991704741464442,297983,0.691567955478429,0.25487024427568017,0.07514175934946621
AP,8,White,131362,131283,100737.0,64470.0,38,0.7673270720504559,0.49107652932976853,0.999398608425572,297983,0.691567955478429,0.44083722896943783,0.07575911657202694
AP,9,Multiracial,8823,8753,6731.0,4651.0,34,0.7689934879469896,0.5313606763395408,0.992066190638105,297983,0.691567955478429,0.029609071658450316,0.07742553246856065
IB,1,All Students,13103,13007,9322.0,4745.0,46,0.7166910125317137,0.36480356730991004,0.9926734335648325,13103,0.7166910125317137,1.0,0.0
IB,10,General Education Students,12661,12552,9130.0,4684.0,48,0.7273741236456341,0.37316762268961123,0.9913908853960982,13103,0.7166910125317137,0.9662672670380829,0.010683111113920396
IB,11,Students with Disabilities,442,304,124.0,40.0,73,0.40789473684210525,0.13157894736842105,0.6877828054298643,13103,0.7166910125317137,0.03373273296191712,-0.3087962756896085
IB,12,Not English Language Learner,13044,12951,9300.0,4733.0,46,0.7180912670836229,0.3654544050652459,0.9928702851885924,13103,0.7166910125317137,0.9954972143783867,0.0014002545519091747
IB,13,English Language Learner,59,12,8.0,5.0,27,0.6666666666666666,0.4166666666666667,0.2033898305084746,13103,0.7166910125317137,0.004502785621613371,-0.050024345865047115
IB,15,Economically Disadvantaged,3723,3609,2177.0,938.0,55,0.6032141867553339,0.2599057910778609,0.9693795326349718,13103,0.7166910125317137,0.28413340456384034,-0.11347682577637985
IB,16,Not Economically Disadvantaged,9380,9266,7067.0,3782.0,54,0.7626807684006044,0.4081588603496654,0.9878464818763326,13103,0.7166910125317137,0.7158665954361596,0.04598975586889065
IB,18,Not Migrant,13103,13007,9322.0,4745.0,46,0.7166910125317137,0.36480356730991004,0.9926734335648325,13103,0.7166910125317137,1.0,0.0
IB,2,Female,7528,7441,5480.0,2805.0,40,0.7364601532052144,0.37696546163150113,0.9884431455897981,13103,0.7166910125317137,0.5745249179577196,0.019769140673500663
IB,20,Homeless,77,34,17.0,2.0,24,0.5,0.058823529411764705,0.44155844155844154,13103,0.7166910125317137,0.0058765168282072806,-0.21669101253171374
IB,21,Not Homeless,13026,12931,9296.0,4740.0,47,0.7188925837135566,0.36656097749593997,0.9927068939044987,13103,0.7166910125317137,0.9941234831717927,0.002201571181842832
IB,22,In Foster Care,1,0,0.0,0.0,1,,,0.0,13103,0.7166910125317137,7.631840036632832e-05,
IB,23,Not in Foster Care,13102,13006,9321.0,4744.0,46,0.7166692295863447,0.3647547285868061,0.9926728743703251,13103,0.7166910125317137,0.9999236815996336,-2.1782945369031026e-05
IB,24,Parent in Armed Forces,1,0,0.0,0.0,1,,,0.0,13103,0.7166910125317137,7.631840036632832e-05,
IB,25,Parent Not in Armed Forces,13102,13006,9321.0,4745.0,46,0.7166692295863447,0.364831616177149,0.9926728743703251,13103,0.7166910125317137,0.9999236815996336,-2.1782945369031026e-05
IB,29,Nonbinary,11,0,0.0,0.0,10,,,0.0,13103,0.7166910125317137,0.0008395024040296115,
IB,3,Male,5564,5455,3774.0,1909.0,49,0.6918423464711274,0.34995417048579286,0.9804097771387491,13103,0.7166910125317137,0.42463557963825077,-0.024848666060586333
IB,4,American Indian/Alaska Native,39,0,0.0,0.0,24,,,0.0,13103,0.7166910125317137,0.0029764176142868044,
IB,5,Black,1045,908,397.0,104.0,66,0.43722466960352424,0.1145374449339207,0.8688995215311005,13103,0.7166910125317137,0.0797527283828131,-0.2794663429281895
IB,6,Hispanic,2487,2392,1627.0,773.0,55,0.6801839464882943,0.32316053511705684,0.9618013671089666,13103,0.7166910125317137,0.18980386171105854,-0.03650706604341947
IB,7,Asian/Pacific Islander,1467,1379,1088.0,636.0,46,0.788977519941987,0.4612037708484409,0.940013633265167,13103,0.7166910125317137,0.11195909333740364,0.0722865074102732
IB,8,White,7622,7542,5690.0,2961.0,45,0.7544417926279502,0.3926014319809069,0.9895040671739701,13103,0.7166910125317137,0.5816988475921545,0.03775078009623645
IB,9,Multiracial,443,343,249.0,144.0,47,0.7259475218658892,0.4198250728862974,0.7742663656884876,13103,0.7166910125317137,0.033809051362283446,0.009256509334175433
