APIB_IND,NRC_CODE,NRC_DESC,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage
AP,1.0,NEW YORK CITY,112587,112537,66489.0,41311.0,27,0.5908190195224682,0.3670881576725877,0.9995558989936671
AP,2.0,LARGE CITY,3956,3823,1411.0,658.0,22,0.36908187287470573,0.17211613915772953,0.9663801820020222
AP,3.0,URBAN/SUBURBAN/HIGH NEEDS,9841,9793,5270.0,2675.0,26,0.5381394873889513,0.2731542938833861,0.9951224469058022
AP,4.0,RURAL HIGH NEEDS,2729,2663,1654.0,834.0,31,0.6211040180247841,0.31318062335711605,0.9758153169659216
AP,5.0,AVERAGE NEEDS,69323,69241,51595.0,30933.0,45,0.7451509943530568,0.4467439811672275,0.9988171313993912
AP,6.0,LOW NEEDS,97963,97890,78842.0,53256.0,37,0.8054142404740015,0.5440392277045664,0.9992548206976103
AP,7.0,CHARTER SCHOOL,1584,1529,570.0,223.0,11,0.3727926749509483,0.1458469587965991,0.9652777777777778
IB,1.0,NEW YORK CITY,1265,1250,939.0,594.0,9,0.7512,0.4752,0.9881422924901185
IB,2.0,LARGE CITY,1644,1635,1052.0,475.0,4,0.6434250764525994,0.290519877675841,0.9945255474452555
IB,3.0,URBAN/SUBURBAN/HIGH NEEDS,851,830,527.0,246.0,12,0.6349397590361445,0.2963855421686747,0.9753231492361927
IB,4.0,RURAL HIGH NEEDS,46,40,33.0,21.0,3,0.825,0.525,0.8695652173913043
IB,5.0,AVERAGE NEEDS,2888,2773,2134.0,1110.0,50,0.7695636494771007,0.4002884962134872,0.9601800554016621
IB,6.0,LOW NEEDS,6102,6071,4515.0,2262.0,19,0.7436995552627245,0.37259100642398285,0.9949196984595214
IB,7.0,CHARTER SCHOOL,307,214,59.0,3.0,1,0.2757009345794392,0.014018691588785047,0.6970684039087948
