APIB_IND,aggregation_index,aggregation_code,aggregation_name,NRC_CODE,NRC_DESC,COUNTY_CODE,COUNTY_NAME,NYC_IND,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,resource_class
AP,3,100501040000,TACONIC HILLS,5.0,AVERAGE NEEDS,10.0,COLUMBIA,0.0,36,28,16.0,10.0,5,0.5714285714285714,0.35714285714285715,0.7777777777777778,平均
AP,3,100902040000,GERMANTOWN,5.0,AVERAGE NEEDS,10.0,COLUMBIA,0.0,12,9,9.0,4.0,1,1.0,0.4444444444444444,0.75,平均
AP,3,10100010000,ALBANY,3.0,URBAN/SUBURBAN/HIGH NEEDS,1.0,ALBANY,0.0,714,678,414.0,251.0,18,0.6106194690265486,0.3702064896755162,0.9495798319327731,城市-郊区
AP,3,101001040000,CHATHAM,5.0,AVERAGE NEEDS,10.0,COLUMBIA,0.0,69,65,43.0,18.0,2,0.6615384615384615,0.27692307692307694,0.9420289855072463,平均
AP,3,101300010000,HUDSON,4.0,RURAL HIGH NEEDS,10.0,COLUMBIA,0.0,43,41,30.0,26.0,1,0.7317073170731707,0.6341463414634146,0.9534883720930233,农村
AP,3,101401040000,KINDERHOOK,5.0,AVERAGE NEEDS,10.0,COLUMBIA,0.0,133,132,94.0,51.0,1,0.7121212121212122,0.38636363636363635,0.9924812030075187,平均
AP,3,10201040000,BERNE KNOX,5.0,AVERAGE NEEDS,1.0,ALBANY,0.0,55,46,43.0,28.0,3,0.9347826086956522,0.6086956521739131,0.8363636363636363,平均
AP,3,10306060000,BETHLEHEM,6.0,LOW NEEDS,1.0,ALBANY,0.0,1028,991,880.0,696.0,25,0.887991927346115,0.7023208879919274,0.9640077821011673,低N/RC
AP,3,10402060000,RAVENA COEYMANS,5.0,AVERAGE NEEDS,1.0,ALBANY,0.0,69,44,34.0,19.0,12,0.7727272727272727,0.4318181818181818,0.6376811594202898,平均
AP,3,10500010000,COHOES,3.0,URBAN/SUBURBAN/HIGH NEEDS,1.0,ALBANY,0.0,49,49,24.0,12.0,0,0.4897959183673469,0.24489795918367346,1.0,城市-郊区
AP,3,10601060000,SOUTH COLONIE,5.0,AVERAGE NEEDS,1.0,ALBANY,0.0,418,412,327.0,204.0,3,0.7936893203883495,0.49514563106796117,0.9856459330143541,平均
AP,3,10623060000,NORTH COLONIE CSD,6.0,LOW NEEDS,1.0,ALBANY,0.0,729,701,629.0,515.0,18,0.8972895863052782,0.7346647646219686,0.9615912208504801,低N/RC
AP,3,10802060000,GUILDERLAND,6.0,LOW NEEDS,1.0,ALBANY,0.0,534,513,431.0,323.0,13,0.8401559454191033,0.6296296296296297,0.9606741573033708,低N/RC
AP,3,11003060000,VOORHEESVILLE,6.0,LOW NEEDS,1.0,ALBANY,0.0,302,274,225.0,122.0,12,0.8211678832116789,0.44525547445255476,0.9072847682119205,低N/RC
AP,3,110101040000,CINCINNATUS,4.0,RURAL HIGH NEEDS,11.0,CORTLAND,0.0,17,16,13.0,8.0,1,0.8125,0.5,0.9411764705882353,农村
AP,3,110200010000,CORTLAND,3.0,URBAN/SUBURBAN/HIGH NEEDS,11.0,CORTLAND,0.0,53,48,30.0,9.0,2,0.625,0.1875,0.9056603773584906,城市-郊区
AP,3,110701060000,HOMER,5.0,AVERAGE NEEDS,11.0,CORTLAND,0.0,114,106,94.0,65.0,4,0.8867924528301887,0.6132075471698113,0.9298245614035088,平均
AP,3,110901040000,MARATHON,4.0,RURAL HIGH NEEDS,11.0,CORTLAND,0.0,18,18,5.0,4.0,0,0.2777777777777778,0.2222222222222222,1.0,农村
AP,3,120301040000,DOWNSVILLE,4.0,RURAL HIGH NEEDS,12.0,DELAWARE,0.0,4,0,0.0,0.0,3,,,0.0,农村
AP,3,120501040000,DELAWARE ACADEMY-DELHI,5.0,AVERAGE NEEDS,12.0,DELAWARE,0.0,60,55,48.0,29.0,2,0.8727272727272727,0.5272727272727272,0.9166666666666666,平均
AP,3,121401040000,MARGARETVILLE,4.0,RURAL HIGH NEEDS,12.0,DELAWARE,0.0,30,10,4.0,1.0,6,0.4,0.1,0.3333333333333333,农村
AP,3,121901040000,WALTON,4.0,RURAL HIGH NEEDS,12.0,DELAWARE,0.0,13,9,8.0,4.0,3,0.8888888888888888,0.4444444444444444,0.6923076923076923,农村
AP,3,130200010000,BEACON,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,89,76,76.0,76.0,10,1.0,1.0,0.8539325842696629,平均
AP,3,130502020000,DOVER,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,105,98,72.0,39.0,5,0.7346938775510204,0.3979591836734694,0.9333333333333333,平均
AP,3,130801060000,HYDE PARK,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,298,263,137.0,68.0,12,0.5209125475285171,0.2585551330798479,0.8825503355704698,平均
AP,3,131201040000,PAWLING,6.0,LOW NEEDS,13.0,DUTCHESS,0.0,309,291,225.0,116.0,6,0.7731958762886598,0.39862542955326463,0.941747572815534,低N/RC
AP,3,131301040000,PINE PLAINS,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,84,75,57.0,35.0,5,0.76,0.4666666666666667,0.8928571428571429,平均
AP,3,131601060000,ARLINGTON,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,1030,998,709.0,408.0,15,0.7104208416833667,0.4088176352705411,0.9689320388349515,平均
AP,3,131602020000,SPACKENKILL,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,352,324,233.0,139.0,12,0.7191358024691358,0.42901234567901236,0.9204545454545454,平均
AP,3,131701060000,RED HOOK,5.0,AVERAGE NEEDS,13.0,DUTCHESS,0.0,200,180,146.0,92.0,10,0.8111111111111111,0.5111111111111111,0.9,平均
AP,3,131801040000,RHINEBECK,6.0,LOW NEEDS,13.0,DUTCHESS,0.0,183,164,118.0,72.0,7,0.7195121951219512,0.43902439024390244,0.8961748633879781,低N/RC
AP,3,132201040000,MILLBROOK,6.0,LOW NEEDS,13.0,DUTCHESS,0.0,108,86,47.0,18.0,9,0.5465116279069767,0.20930232558139536,0.7962962962962963,低N/RC
AP,3,140201060000,AMHERST,5.0,AVERAGE NEEDS,14.0,ERIE,0.0,577,550,481.0,328.0,17,0.8745454545454545,0.5963636363636363,0.9532062391681109,平均
AP,3,140203060000,WILLIAMSVILLE,5.0,AVERAGE NEEDS,14.0,ERIE,0.0,2370,2318,2015.0,1456.0,27,0.869283865401208,0.6281276962899051,0.9780590717299578,平均
AP,3,140207060000,SWEET HOME,5.0,AVERAGE NEEDS,14.0,ERIE,0.0,259,239,156.0,83.0,13,0.6527196652719666,0.3472803347280335,0.9227799227799228,平均
AP,3,140301030000,EAST AURORA,6.0,LOW NEEDS,14.0,ERIE,0.0,379,356,321.0,217.0,11,0.901685393258427,0.6095505617977528,0.9393139841688655,低N/RC
AP,3,140600010000,BUFFALO,2.0,LARGE CITY,14.0,ERIE,0.0,2519,2391,795.0,333.0,20,0.3324968632371393,0.13927227101631118,0.9491861849940453,大城市
AP,3,140701060000,CHEEKTOWAGA,5.0,AVERAGE NEEDS,14.0,ERIE,0.0,109,104,61.0,27.0,2,0.5865384615384616,0.25961538461538464,0.9541284403669725,平均
