APIB_IND,level,student_count,share
AP,level1_cnt,34185.0,0.11474441382504875
AP,level2_cnt,57704.0,0.19368763069652226
AP,level3_cnt,76012.0,0.25513975087522617
AP,level4_cnt,79400.0,0.26651181681172653
AP,level5_cnt,50622.0,0.16991638779147633
AP,level6_cnt,0.0,0.0
AP,level7_cnt,0.0,0.0
IB,level1_cnt,136.0,0.010447875854651609
IB,level2_cnt,915.0,0.07029269416916341
IB,level3_cnt,2644.0,0.20311899823307983
IB,level4_cnt,4577.0,0.35161711607897367
IB,level5_cnt,3260.0,0.25044173004532533
IB,level6_cnt,1259.0,0.0967196742721057
IB,level7_cnt,226.0,0.017361911346700468
