APIB_IND,SUBJECT_AREA,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage
AP,Computer Sciences,15508,15506,10245.0,5922.0,1,0.6607119824584032,0.38191667741519414,0.9998710343048749
AP,ELA,49388,49386,30054.0,16586.0,1,0.6085530312234236,0.33584416636293685,0.9999595043330364
AP,Fine and Performing Arts,5970,5962,4439.0,2323.0,4,0.7445488091244549,0.3896343508889634,0.9986599664991624
AP,Global Studies,29334,29334,20998.0,15112.0,0,0.715824640349083,0.5151701097702325,1.0
AP,Mathematics,31601,31590,22190.0,16608.0,5,0.702437480215258,0.5257359924026591,0.9996519097496914
AP,Other,10759,10757,9013.0,3158.0,1,0.8378730129218184,0.2935762759133587,0.9998141091179478
AP,Science,55575,55564,36223.0,23006.0,8,0.6519149089338421,0.4140450651500972,0.9998020692757534
AP,Second Languages,12866,12854,10447.0,6715.0,6,0.8127431149836627,0.5224054768943519,0.9990673091870045
AP,Social Studies,86982,86970,62425.0,40592.0,6,0.7177762446820742,0.4667356559733241,0.9998620404221563
IB,Business and Marketing,569,569,410.0,205.0,0,0.7205623901581723,0.3602811950790861,1.0
IB,Computer Sciences,77,73,45.0,21.0,2,0.6164383561643836,0.2876712328767123,0.948051948051948
IB,ELA,2658,2656,2212.0,960.0,2,0.8328313253012049,0.3614457831325301,0.999247554552295
IB,Fine and Performing Arts,790,765,487.0,184.0,13,0.6366013071895424,0.24052287581699347,0.9683544303797469
IB,Mathematics,1865,1852,1184.0,697.0,5,0.6393088552915767,0.37634989200863933,0.9930294906166219
IB,Religious Education,59,59,47.0,23.0,0,0.7966101694915254,0.3898305084745763,1.0
IB,Science,2138,2114,1268.0,631.0,10,0.5998107852412489,0.29848628192999055,0.9887745556594949
IB,Second Languages,1852,1832,1528.0,953.0,11,0.834061135371179,0.5201965065502183,0.9892008639308856
IB,Social Studies,3095,3087,2141.0,1071.0,3,0.6935536119209589,0.3469387755102041,0.9974151857835218
