APIB_IND,aggregation_index,SUBGROUP_CODE,SUBGROUP_NAME,suppressed_records,record_count,suppressed_share_records
AP,0,1,All Students,32,180,0.17777777777777778
AP,0,10,General Education Students,29,175,0.1657142857142857
AP,0,11,Students with Disabilities,56,144,0.3888888888888889
AP,0,12,Not English Language Learner,30,177,0.1694915254237288
AP,0,13,English Language Learner,53,112,0.4732142857142857
AP,0,15,Economically Disadvantaged,41,172,0.23837209302325582
AP,0,16,Not Economically Disadvantaged,23,167,0.1377245508982036
AP,0,17,Migrant,9,9,1.0
AP,0,18,Not Migrant,32,180,0.17777777777777778
AP,0,2,Female,29,169,0.17159763313609466
AP,0,20,Homeless,33,119,0.2773109243697479
AP,0,21,Not Homeless,32,180,0.17777777777777778
AP,0,22,In Foster Care,48,56,0.8571428571428571
AP,0,23,Not in Foster Care,32,180,0.17777777777777778
AP,0,24,Parent in Armed Forces,41,61,0.6721311475409836
AP,0,25,Parent Not in Armed Forces,33,180,0.18333333333333332
AP,0,29,Nonbinary,39,51,0.7647058823529411
AP,0,3,Male,29,170,0.17058823529411765
AP,0,4,American Indian/Alaska Native,41,92,0.44565217391304346
AP,0,5,Black,15,128,0.1171875
AP,0,6,Hispanic,36,152,0.23684210526315788
AP,0,7,Asian/Pacific Islander,31,155,0.2
AP,0,8,White,38,165,0.23030303030303031
AP,0,9,Multiracial,34,129,0.26356589147286824
AP,1,1,All Students,199,758,0.262532981530343
AP,1,10,General Education Students,183,738,0.24796747967479674
AP,1,11,Students with Disabilities,224,396,0.5656565656565656
AP,1,12,Not English Language Learner,195,749,0.260347129506008
AP,1,13,English Language Learner,154,242,0.6363636363636364
AP,1,15,Economically Disadvantaged,197,663,0.2971342383107089
AP,1,16,Not Economically Disadvantaged,197,684,0.2880116959064328
AP,1,17,Migrant,11,11,1.0
AP,1,18,Not Migrant,199,758,0.262532981530343
AP,1,2,Female,167,668,0.25
AP,1,20,Homeless,163,285,0.5719298245614035
AP,1,21,Not Homeless,198,757,0.261558784676354
AP,1,22,In Foster Care,83,87,0.9540229885057471
AP,1,23,Not in Foster Care,197,755,0.2609271523178808
AP,1,24,Parent in Armed Forces,95,116,0.8189655172413793
AP,1,25,Parent Not in Armed Forces,199,757,0.2628797886393659
AP,1,29,Nonbinary,99,107,0.9252336448598131
AP,1,3,Male,208,696,0.2988505747126437
AP,1,4,American Indian/Alaska Native,150,217,0.6912442396313364
AP,1,5,Black,174,481,0.36174636174636177
AP,1,6,Hispanic,169,571,0.29597197898423816
AP,1,7,Asian/Pacific Islander,203,554,0.3664259927797834
AP,1,8,White,218,633,0.344391785150079
AP,1,9,Multiracial,191,408,0.4681372549019608
AP,2,1,All Students,892,2794,0.3192555476020043
AP,2,10,General Education Students,870,2767,0.3144199494036863
AP,2,11,Students with Disabilities,562,873,0.6437571592210768
AP,2,12,Not English Language Learner,886,2782,0.3184759166067577
AP,2,13,English Language Learner,269,412,0.6529126213592233
AP,2,15,Economically Disadvantaged,967,2138,0.4522918615528531
AP,2,16,Not Economically Disadvantaged,903,2619,0.3447880870561283
AP,2,17,Migrant,15,15,1.0
