APIB_IND,ITEM_DESC,SUBJECT_AREA,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,proficiency_rate,high_score_rate,valid_coverage
AP,AP US History,Social Studies,32551,32547,25000.0,16049.0,0.7681199496113313,0.49310228285249025,0.9998771159104175
AP,AP Language and Comp,ELA,30542,30542,16886.0,9528.0,0.552878004059983,0.3119638530548098,1.0
AP,AP World History,Global Studies,29334,29334,20998.0,15112.0,0.715824640349083,0.5151701097702325,1.0
AP,AP Literature and Comp,ELA,18846,18844,13168.0,7058.0,0.6987900658034387,0.3745489280407557,0.9998938766847076
AP,AP U.S. Government and Politics,Social Studies,16723,16720,12460.0,8267.0,0.7452153110047847,0.4944377990430622,0.9998206063505352
AP,AP Biology,Science,16526,16526,11881.0,7009.0,0.7189277502117875,0.424119569163742,1.0
AP,AP Psychology,Social Studies,14879,14878,8937.0,6264.0,0.600685576018282,0.4210243312273155,0.9999327911822031
AP,AP Calculus AB,Mathematics,12961,12958,8608.0,6433.0,0.6643000463034419,0.49645006945516285,0.9997685363783658
AP,AP Environmental Science,Science,12464,12464,6230.0,4244.0,0.4998395378690629,0.34050064184852374,1.0
AP,AP Computer Science Principles,Computer Sciences,10505,10505,6962.0,3528.0,0.6627320323655402,0.3358400761542123,1.0
AP,AP Statistics,Mathematics,10448,10446,6721.0,4393.0,0.6434041738464484,0.4205437488033697,0.9998085758039816
AP,AP Spanish Language and Culture,Second Languages,8341,8337,7080.0,4607.0,0.8492263404102195,0.5525968573827515,0.9995204411941014
AP,AP Physics 1,Science,7880,7877,4561.0,2771.0,0.5790275485590961,0.3517836739875587,0.9996192893401015
AP,AP Macroeconomics,Social Studies,7837,7835,5707.0,3546.0,0.7283982131461392,0.45258455647734525,0.9997448003062396
AP,AP Seminar,Other,7718,7716,6409.0,1981.0,0.8306117159149818,0.25673924313115604,0.9997408655091993
IB,IB Language A: Language and Literature - English - HL,ELA,1412,1412,1205.0,535.0,0.853399433427762,0.37889518413597734,1.0
IB,IB History HL: History of the Americas,Social Studies,1353,1348,1000.0,475.0,0.7418397626112759,0.35237388724035607,0.9963045084996305
IB,IB Mathematics: Applications and interpretation - SL,Mathematics,823,823,474.0,254.0,0.5759416767922235,0.3086269744835966,1.0
IB,IB Language A: Literature - English - HL,ELA,810,810,715.0,317.0,0.8827160493827161,0.391358024691358,1.0
IB,IB Mathematics: Analysis and approaches - SL,Mathematics,796,796,585.0,398.0,0.7349246231155779,0.5,1.0
IB,IB Language B - Spanish - SL,Second Languages,711,707,641.0,418.0,0.9066478076379066,0.5912305516265912,0.9943741209563994
IB,IB History - HL,Social Studies,471,471,317.0,176.0,0.673036093418259,0.37367303609341823,1.0
IB,IB Biology - HL,Science,421,419,261.0,118.0,0.6229116945107399,0.28162291169451076,0.995249406175772
IB,IB Psychology - SL,Social Studies,375,374,255.0,136.0,0.6818181818181818,0.36363636363636365,0.9973333333333333
IB,IB Language A: Language and Literature - English - SL,ELA,369,368,256.0,89.0,0.6956521739130435,0.2418478260869565,0.997289972899729
IB,IB Social Anthropology - SL,Social Studies,340,340,211.0,84.0,0.6205882352941177,0.24705882352941178,1.0
IB,IB Business and Management - SL,Business and Marketing,331,331,220.0,98.0,0.6646525679758308,0.29607250755287007,1.0
IB,IB Biology - SL,Science,322,318,179.0,82.0,0.5628930817610063,0.2578616352201258,0.9875776397515528
IB,IB Environmental Systems - SL,Science,313,308,174.0,74.0,0.564935064935065,0.24025974025974026,0.9840255591054313
IB,"IB Sports, Exercise, and Health Science - SL",Science,313,308,196.0,80.0,0.6363636363636364,0.2597402597402597,0.9840255591054313
