REPORT_SCHOOL_YEAR,aggregation_index,aggregation_type,aggregation_code,aggregation_name,INST_ID,LEA_BEDS,LEA_NAME,NRC_CODE,NRC_DESC,COUNTY_CODE,COUNTY_NAME,NYC_IND,SUBGROUP_CODE,SUBGROUP_NAME,APIB_IND,SUBJECT_AREA,STATE_CODE,ITEM_DESC,GRADE_LEVEL,tested_student_cnt,proficient_student_cnt,level1_cnt,level2_cnt,level3_cnt,level4_cnt,level5_cnt,level6_cnt,level7_cnt
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,10th Grade,18,17,1,0,4,4,9,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,11th Grade,40,36,2,2,4,12,20,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,12th Grade,44,32,9,3,4,16,12,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,9th Grade,2,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,10th Grade,38,27,2,9,13,9,5,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,11th Grade,19,12,3,4,6,5,1,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,12th Grade,22,16,0,6,5,6,5,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,9th Grade,7,7,0,0,0,5,2,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,ELA,00120,AP Language and Comp,10th Grade,1,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,ELA,00120,AP Language and Comp,11th Grade,492,329,41,122,106,159,64,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,ELA,00120,AP Language and Comp,12th Grade,68,60,2,6,14,29,17,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,ELA,00121,AP Literature and Comp,11th Grade,68,58,0,10,35,14,9,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,ELA,00121,AP Literature and Comp,12th Grade,202,178,3,21,53,65,60,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A00,AP Art History,11th Grade,3,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A00,AP Art History,12th Grade,4,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A00,AP Art History,9th Grade,1,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A15,AP Music Theory,10th Grade,3,-,-,-,-,-,-,-,-
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A15,AP Music Theory,11th Grade,8,7,0,1,4,0,3,0,0
2023-24,2,County,10000000000,County:ALBANY,,,,,,1.0,ALBANY,0.0,1,All Students,AP,Fine and Performing Arts,00A15,AP Music Theory,12th Grade,12,7,1,4,2,2,3,0,0
