REPORT_SCHOOL_YEAR,aggregation_index,aggregation_type,aggregation_code,aggregation_name,INST_ID,LEA_BEDS,LEA_NAME,NRC_CODE,NRC_DESC,COUNTY_CODE,COUNTY_NAME,NYC_IND,SUBGROUP_CODE,SUBGROUP_NAME,APIB_IND,SUBJECT_AREA,STATE_CODE,ITEM_DESC,GRADE_LEVEL,tested_student_cnt,proficient_student_cnt,level1_cnt,level2_cnt,level3_cnt,level4_cnt,level5_cnt,level6_cnt,level7_cnt
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,10th Grade,475,350,89,36,84,106,160,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,11th Grade,2324,1750,386,188,380,510,860,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,12th Grade,2160,1156,740,264,422,375,359,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,9th Grade,42,27,12,3,3,10,14,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A04,AP Computer Science A,Not HS,2,-,-,-,-,-,-,-,-
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,10th Grade,3548,2884,229,435,1146,1052,686,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,11th Grade,3296,2025,575,696,1133,605,287,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,12th Grade,3028,1699,594,735,973,499,227,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,9th Grade,628,349,137,142,179,94,76,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,Computer Sciences,00A40,AP Computer Science Principles,Not HS,5,5,0,0,3,1,1,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00120,AP Language and Comp,10th Grade,1251,488,337,426,255,170,63,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00120,AP Language and Comp,11th Grade,26620,15145,3694,7781,6502,5774,2869,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00120,AP Language and Comp,12th Grade,2514,1216,587,711,576,439,201,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00120,AP Language and Comp,9th Grade,148,32,63,53,23,8,1,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00120,AP Language and Comp,Not HS,9,5,0,4,2,2,1,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00121,AP Literature and Comp,10th Grade,214,108,35,71,82,21,5,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00121,AP Literature and Comp,11th Grade,2851,1924,278,649,991,641,292,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00121,AP Literature and Comp,12th Grade,15770,11130,1847,2793,5033,4018,2079,0,0
2023-24,0,Statewide,0,NEW YORK STATE,,,,,,,,,1,All Students,AP,ELA,00121,AP Literature and Comp,9th Grade,9,6,0,3,4,2,0,0,0
